id,subzone,planning_area,population_chinese_male,population_chinese_female,population_malays_male,population_malays_female,population_indians_male,population_indians_female,population_others_male,population_others_female,subzone_size,population_density
893,RIVERVALE,SENGKANG,22530,22930,3330,3490,3020,3040,710,800,1.569,14869.3
894,SENGKANG TOWN CENTRE,SENGKANG,21020,21760,2560,2650,2660,2530,680,830,1.461,14955.5
895,SENGKANG WEST,SENGKANG,-,-,-,-,-,-,-,-,1.667,0.0
896,LORONG CHUAN,SERANGOON,3610,3960,20,20,210,220,170,180,1.18,3211.9
897,SELETAR HILLS,SERANGOON,5910,6130,60,80,490,440,250,210,2.331,2625.5
898,SERANGOON CENTRAL,SERANGOON,10510,11610,600,590,1290,1300,270,320,1.062,10197.7
899,SERANGOON GARDEN,SERANGOON,15490,17030,1010,980,1710,1770,540,650,3.023,5339.1
900,SERANGOON NORTH,SERANGOON,6830,6980,650,660,1010,970,170,210,0.6847,10281.9
901,SERANGOON NORTH IND ESTATE,SERANGOON,-,-,-,-,-,-,-,-,0.9214,0.0
902,UPPER PAYA LEBAR,SERANGOON,6520,6860,240,260,670,670,160,170,0.8986,7444.9
903,PULAU SELETAR,SIMPANG,-,-,-,-,-,-,-,-,0.4189,0.0
904,SIMPANG NORTH,SIMPANG,-,-,-,-,-,-,-,-,3.023,0.0
905,SIMPANG SOUTH,SIMPANG,-,-,-,-,-,-,-,-,1.701,0.0
906,TANJONG IRAU,SIMPANG,-,-,-,-,-,-,-,-,0.4154,0.0
907,BOAT QUAY,SINGAPORE RIVER,60,50,-,-,10,10,40,20,0.1608,497.5
908,CLARKE QUAY,SINGAPORE RIVER,40,30,-,-,10,10,20,10,0.2902,172.3
909,ROBERTSON QUAY,SINGAPORE RIVER,740,950,10,10,100,90,290,240,0.5066,1934.5
910,SENTOSA,SOUTHERN ISLANDS,360,440,10,20,70,70,280,220,4.766,121.7
911,SOUTHERN GROUP,SOUTHERN ISLANDS,-,-,-,-,-,-,-,-,1.403,0.0
912,STRAITS VIEW,STRAITS VIEW,-,-,-,-,-,-,-,-,0.787,0.0
913,GALI BATU,SUNGEI KADUT,40,70,-,-,10,-,-,10,5.186,9.6
914,KRANJI,SUNGEI KADUT,-,-,-,-,-,-,-,-,2.772,0.0
915,PANG SUA,SUNGEI KADUT,-,-,-,-,-,-,-,-,2.175,0.0
916,RESERVOIR VIEW,SUNGEI KADUT,-,-,-,-,-,-,-,-,2.525,0.0
917,TURF CLUB,SUNGEI KADUT,280,270,-,-,40,50,10,10,3.291,88.1
918,SIMEI,TAMPINES,14930,16030,2520,2610,2420,2400,850,960,2.777,5722.0
919,TAMPINES EAST,TAMPINES,43580,45730,16800,17220,5500,5300,2020,2340,4.344,10570.9
920,TAMPINES NORTH,TAMPINES,-,-,-,-,-,-,-,-,2.543,0.0
921,TAMPINES WEST,TAMPINES,26290,27300,8410,8380,3010,2790,890,1030,3.475,7861.9
922,XILIN,TAMPINES,810,800,30,40,80,60,50,50,7.622,112.8
923,CHATSWORTH,TANGLIN,1800,2160,20,30,400,460,430,440,1.346,1664.2
924,NASSIM,TANGLIN,2930,3600,40,50,330,320,530,540,2.096,1655.5
925,RIDOUT,TANGLIN,470,580,-,-,60,70,120,110,1.952,297.1
926,TYERSALL,TANGLIN,1220,1410,20,30,130,160,290,270,2.158,690.5
927,TENGAH,TENGAH,-,-,-,-,-,-,-,-,7.363,0.0
928,BIDADARI,TOA PAYOH,-,-,-,-,-,-,-,-,0.5725,0.0
929,BOON TECK,TOA PAYOH,5480,5870,1120,1160,620,570,120,160,0.4187,13470.3
930,BRADDELL,TOA PAYOH,3930,4430,670,650,400,370,160,160,0.4462,9166.3
931,JOO SENG,TOA PAYOH,2880,2900,120,110,290,270,70,80,1.057,2800.4
932,KIM KEAT,TOA PAYOH,3420,3630,260,270,400,410,100,120,0.3698,9572.7
933,LORONG 8 TOA PAYOH,TOA PAYOH,3240,3490,370,380,280,270,80,100,0.4397,7596.1
