id,subzone,planning_area,region,latitude,longitude,original_type,rank,venue_name,venue_address,venue_id,avg_weekday_footfall,avg_weekend_footfall,created_at,updated_at,venue_type
4836,KATONG,MARINE PARADE,CENTRAL REGION,1.3084956,103.9031497,catering.restaurant,null,Astons specialities,"Astons specialities, Joo Chiat Road, Singapore 427593, Singapore",null,null,null,2025-04-12 16:27:05.861094,2025-04-12 16:27:05.861094,RESTAURANT
4837,KATONG,MARINE PARADE,CENTRAL REGION,1.30832,103.9033004,catering.restaurant,null,Al Falah Barakah Restaurant Pte Ltd,"Al Falah Barakah Restaurant Pte Ltd, Joo Chiat Road, Singapore 427593, Singapore",null,null,null,2025-04-12 16:27:05.899417,2025-04-12 16:27:05.899417,RESTAURANT
4838,KATONG,MARINE PARADE,CENTRAL REGION,1.3071441,103.9043218,catering.restaurant,null,Sin Heng Claypot Bak Koot Teh,"Sin Heng Claypot Bak Koot Teh, Joo Chiat Road, Singapore 427633, Singapore",null,null,null,2025-04-12 16:27:05.938831,2025-04-12 16:27:05.938831,RESTAURANT
4839,KATONG,MARINE PARADE,CENTRAL REGION,1.3067198,103.9045963,catering.restaurant,null,Fat Boys,"Fat Boys, Joo Chiat Road, Singapore 427661, Singapore",null,null,null,2025-04-12 16:27:05.978229,2025-04-12 16:27:05.978229,RESTAURANT
4840,KATONG,MARINE PARADE,CENTRAL REGION,1.3066398,103.9046582,catering.restaurant,null,Fourplay,"Fourplay, Joo Chiat Road, Singapore 427661, Singapore",null,null,null,2025-04-12 16:27:06.013751,2025-04-12 16:27:06.013751,RESTAURANT
4841,KATONG,MARINE PARADE,CENTRAL REGION,1.3063858,103.9047493,catering.restaurant,null,Penyet King,"Penyet King, Joo Chiat Road, Singapore 428820, Singapore",null,null,null,2025-04-12 16:27:06.045378,2025-04-12 16:27:06.045378,RESTAURANT
4842,KATONG,MARINE PARADE,CENTRAL REGION,1.3063558,103.9047757,catering.restaurant,null,Cheers!,"Cheers!, Joo Chiat Road, Singapore 428820, Singapore",null,null,null,2025-04-12 16:27:06.076915,2025-04-12 16:27:06.076915,RESTAURANT
4843,GEYLANG EAST,GEYLANG,CENTRAL REGION,1.3135411,103.9022041,catering.restaurant,null,Fei Fei Wan Tan Mei King,"Fei Fei Wan Tan Mei King, Everitt Road, Singapore 427786, Singapore",null,null,null,2025-04-12 16:27:06.11626,2025-04-12 16:27:06.11626,RESTAURANT
4844,KAMPONG UBI,GEYLANG,CENTRAL REGION,1.3311723,103.9019142,catering.restaurant,null,Aui Food Centre,"Aui Food Centre, Ubi Avenue 2, Singapore 400301, Singapore",null,null,null,2025-04-12 16:27:06.151604,2025-04-12 16:27:06.151604,RESTAURANT
4845,KAMPONG UBI,GEYLANG,CENTRAL REGION,1.3285953,103.8966555,catering.restaurant,null,Ya Rasool Restaurant,"Ya Rasool Restaurant, Ubi Avenue 2, Singapore 400357, Singapore",null,null,null,2025-04-12 16:27:06.19167,2025-04-12 16:27:06.19167,RESTAURANT
