subzone,planning_area,region,min_longitude,max_longitude,min_latitude,max_latitude
EVERTON PARK,BUKIT MERAH,CENTRAL REGION,103.829045796678,103.842154517048,1.27239329468522,1.27976258246599
TELOK BLANGAH WAY,BUKIT MERAH,CENTRAL REGION,103.816694987717,103.823720658573,1.27460432274932,1.28043473155531
MAXWELL,DOWNTOWN CORE,CENTRAL REGION,103.844051122218,103.847225794937,1.27704744417562,1.28134044073723
CECIL,DOWNTOWN CORE,CENTRAL REGION,103.846811401294,103.851082048005,1.27513746990643,1.2818142391445
KAMPONG TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,103.822087666047,103.83402220816,1.27510146874389,1.28188522231965
TELOK BLANGAH DRIVE,BUKIT MERAH,CENTRAL REGION,103.80196303673,103.817494849843,1.27082933511029,1.28212414896702
PASIR PANJANG 2,QUEENSTOWN,CENTRAL REGION,103.78578607764,103.80307872309,1.27269417847437,1.28240789831256
CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION,103.845571336117,103.858426183958,1.26872044839808,1.28322007395973
SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,CENTRAL REGION,103.829029010809,103.839614605855,1.27612279835162,1.28329013927765
BUGIS,DOWNTOWN CORE,CENTRAL REGION,103.852725081267,103.859423397836,1.29536537302661,1.30308646152874
VICTORIA,ROCHOR,CENTRAL REGION,103.850097641604,103.855853771506,1.29638401635408,1.3032533700627
PATERSON,RIVER VALLEY,CENTRAL REGION,103.829311224227,103.834835088044,1.29919623875684,1.30388521745705
EAST COAST,MARINE PARADE,CENTRAL REGION,103.898284756076,103.919508833671,1.2954428691547,1.30392767662758
NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,CENTRAL REGION,103.768990965108,103.785969968577,1.28964947902201,1.30398439234732
ONE TREE HILL,RIVER VALLEY,CENTRAL REGION,103.823245995783,103.830799928515,1.29898301906394,1.30465839121414
COMMONWEALTH,QUEENSTOWN,CENTRAL REGION,103.797224801209,103.802265683522,1.30020299501425,1.30965285271448
DOVER,QUEENSTOWN,CENTRAL REGION,103.771207898843,103.787428951163,1.29738048394743,1.30978528636294
